rank,name,club,position,price,role
280,Sebastian Herrera,Paris,G,5.0,player
281,Vanja Marinkovic,Partizan,G,5.0,player
282,Daniel Hackett,Virtus Bologna,G,4.8,player
283,David Lighty,ASVEL,F,4.8,player
284,Leopold Cavaliere,Paris,F,4.8,player
285,Marc-Owen Fodzo Dada,ASVEL,G,4.8,player
286,Nikola Djurisic,Crvena Zvezda,G,4.8,player
287,Yakuba Ouattara,Paris,G,4.8,player
288,Mario Saint-Supery,Valencia,G,4.7,player
289,Edwin Jackson,ASVEL,F,4.6,player
290,Giannoulis Larentzakis,Olympiacos,G,4.6,player
291,Juan Nunez,Barcelona,G,4.6,player
292,Alberto Abalde,Real Madrid,F,4.5,player
293,Alvaro Cardenas,Valencia,G,4.5,player
294,Amit Ebo,Maccabi Tel Aviv,G,4.5,player
295,Dovydas Giedraitis,Zalgiris,G,4.5,player
296,Eleftherios Mantzoukas,Panathinaikos,F,4.5,player
297,Giampaolo Ricci,Milano,F,4.5,player
298,Gur Lavy,Maccabi Tel Aviv,F,4.5,player
299,Izan Almansa,Real Madrid,F,4.5,player
300,John DiBartolomeo,Maccabi Tel Aviv,G,4.5,player
301,Klemen Prepelic,Dubai,G,4.5,player
302,Nikos Rogkavopoulos,Panathinaikos,F,4.5,player
303,Sergio Llull,Real Madrid,G,4.5,player
304,Sertac Sanli,Fenerbahce,C,4.5,player
305,Tomer Ginat,Hapoel Tel Aviv,F,4.5,player
306,Berk Ugurlu,Besiktas,G,4.4,player
307,Dejan Davidovac,Crvena Zvezda,F,4.4,player
308,Erkan Yilmaz,Anadolu Efes,F,4.4,player
309,Niels Giffey,Bayern Munich,F,4.4,player
310,Nikolaos Plotas,Olympiacos,G,4.4,player
311,Tommaso Baldasso,Virtus Bologna,G,4.4,player
312,Kostas Papanikolaou,Olympiacos,F,4.3,player
313,William Rayman,Maccabi Tel Aviv,F,4.3,player
314,Awudu Abass,Dubai,F,4.2,player
315,Dimitris Moraitis,Panathinaikos,G,4.2,player
316,Kosta Kondic,Dubai,G,4.2,player
317,Lucas Mari,Valencia,G,4.2,player
318,Stefano Tonut,Milano,G,4.2,player
319,Gabriele Procida,Real Madrid,F,4.1,player
320,Aleksej Nedeljkovic,Crvena Zvezda,F,4.0,player
321,Andrej Bjelic,Crvena Zvezda,G,4.0,player
322,Arijan Lakic,Partizan,F,4.0,player
323,Bar Timor,Hapoel Tel Aviv,G,4.0,player
324,Burakcan Yildizli,Anadolu Efes,F,4.0,player
325,David Mutaf,Anadolu Efes,G,4.0,player
326,Diego Flaccadori,Milano,G,4.0,player
327,Enzo Shahrvin,Paris,C,4.0,player
328,Guy Palatin,Hapoel Tel Aviv,G,4.0,player
329,Ioannis Kouzeloglou,Panathinaikos,F,4.0,player
330,Itay Segev,Hapoel Tel Aviv,C,4.0,player
331,Kilian Fischer,Bayern Munich,F,4.0,player
332,Matteo Baiocchi,Virtus Bologna,G,4.0,player
333,Melih Mahmutoglu,Fenerbahce,G,4.0,player
334,Mert Eksioglu,Fenerbahce,G,4.0,player
335,Mitar Bosnjakovic,Partizan,G,4.0,player
336,Nemanja Dangubic,Dubai,F,4.0,player
337,Nicola Akele,Milano,F,4.0,player
338,Omiros Netzipoglou,Olympiacos,G,4.0,player
339,Ousmane Diop,Milano,C,4.0,player
340,Oz Blayzer,Hapoel Tel Aviv,F,4.0,player
341,Panagiotis Kalaitzakis,Panathinaikos,G,4.0,player
342,Ruzgar Fenemen,Anadolu Efes,G,4.0,player
343,Stefan Joksimovic,Baskonia,F,4.0,player
344,Stefan Miljenovic,Crvena Zvezda,G,4.0,player
345,Uros Mijailovic,Partizan,F,4.0,player
346,Vojin Medarevic,Crvena Zvezda,C,4.0,player
